engine,input_id,source_kind,modality,operation,completed,total_seconds,pair_id,status,native_values_unchanged,record_present,numeric_digest_equal,baseline_seconds,audited_seconds,baseline_value_count,observed_value_count,baseline_nonfinite_count,observed_nonfinite_count,checkpoint_count,relationship_acceptance,reason,raw_configuration_sha256,baseline_values_sha256,observed_values_sha256,resolved_configuration_sha256
mirp,synthetic_921104,synthetic,mr,cubic_1p3,True,14.680538599997817,mirp|synthetic_921104|cubic_1p3,satisfied,True,True,True,5.142966399998841,7.959475300001941,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,e8c3b9dffdf49193d6f44498f220b901cb2bb1c1d69ece667a9eaea2ae3aa6c8,e8c3b9dffdf49193d6f44498f220b901cb2bb1c1d69ece667a9eaea2ae3aa6c8,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921104,synthetic,mr,linear_1p3,True,10.773451599998225,mirp|synthetic_921104|linear_1p3,satisfied,True,True,True,5.120410599996831,4.155808200001047,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,24ff6a25273eac3357c7899b41bb792717a79be7b6ad9fb4f99cb477b48e6a34,24ff6a25273eac3357c7899b41bb792717a79be7b6ad9fb4f99cb477b48e6a34,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921105,synthetic,mr,identity,True,9.191219099997397,mirp|synthetic_921105|identity,satisfied,True,True,True,3.61276259999795,4.213227899999765,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,d56f99228ca500d627260689c47250b9645aea7eaf7899dd2dd7c53a849be8f9,d56f99228ca500d627260689c47250b9645aea7eaf7899dd2dd7c53a849be8f9,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921105,synthetic,mr,cubic_1p3,True,13.410696799997822,mirp|synthetic_921105|cubic_1p3,satisfied,True,True,True,4.80217249999987,6.969158399999287,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,c865fbfae0264f058bc32a988f0ac2a2526cc78178157e656e09f8a265c1660d,c865fbfae0264f058bc32a988f0ac2a2526cc78178157e656e09f8a265c1660d,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921105,synthetic,mr,linear_1p3,True,9.247388200001296,mirp|synthetic_921105|linear_1p3,satisfied,True,True,True,4.282310499998857,3.3865249999980733,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,99f9b11cf2930f5057ec3be5cce2372bd35a2cd9126af18d09e5a28e08a6ebcf,99f9b11cf2930f5057ec3be5cce2372bd35a2cd9126af18d09e5a28e08a6ebcf,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921106,synthetic,mr,identity,True,11.353719799997634,mirp|synthetic_921106|identity,satisfied,True,True,True,4.842666500000632,5.158222300000489,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,e70fecbb8f1daa7a72c6cde65f1e127661ca747525435bde978b78f2fff9f7f6,e70fecbb8f1daa7a72c6cde65f1e127661ca747525435bde978b78f2fff9f7f6,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921106,synthetic,mr,cubic_1p3,True,13.153576799999428,mirp|synthetic_921106|cubic_1p3,satisfied,True,True,True,4.506680899998173,7.341991400000552,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,8339a2839435ee82f4eb347f926c9f6d8870933f9b04f78c2bd1306ded67a8ff,8339a2839435ee82f4eb347f926c9f6d8870933f9b04f78c2bd1306ded67a8ff,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921106,synthetic,mr,linear_1p3,True,7.242988199999672,mirp|synthetic_921106|linear_1p3,satisfied,True,True,True,2.818066700001509,3.3599623999980395,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,6fd9f3e85328996c2d913f4fa640131a6ed0d63e26022ebd799e1a52007a7ddd,6fd9f3e85328996c2d913f4fa640131a6ed0d63e26022ebd799e1a52007a7ddd,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921107,synthetic,mr,identity,True,8.593275100000028,mirp|synthetic_921107|identity,satisfied,True,True,True,3.7511769000011554,3.750082399998064,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,fbb38f34ae4c113c4b2a6d25e8fd4e33e39c11c475219e1e5e70856d8917be01,fbb38f34ae4c113c4b2a6d25e8fd4e33e39c11c475219e1e5e70856d8917be01,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921107,synthetic,mr,cubic_1p3,True,9.639605799999117,mirp|synthetic_921107|cubic_1p3,satisfied,True,True,True,3.7170678000002226,4.83059460000004,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,c368a60d0c0b0e7ef680d30b912cc2f3681607ba3b1d9f26480726583916a1c8,c368a60d0c0b0e7ef680d30b912cc2f3681607ba3b1d9f26480726583916a1c8,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
