grouping,engine,source_kind,modality,operation,metric,available_n,missing_n,min,q25,median,q75,max,mean
engine,mirp,all,all,all,baseline_seconds,62,0,1.295259200000146,2.04033040000013,3.5903780999997252,4.811644324998269,50.9513283999986,4.434304616129016
engine,mirp,all,all,all,audited_seconds,62,0,0.997261399999843,2.9977997750011127,4.184518050000406,5.627406974999758,52.68374219999896,5.247520224193478
engine,mirp,all,all,all,total_seconds,62,0,3.4134645000012824,6.5625518249999,8.807246950000263,11.566072300000997,105.03778429999875,10.879114403225802
engine,pyradiomics,all,all,all,baseline_seconds,62,0,0.036128699997789226,0.042238249997353705,0.04588610000064364,0.050932775000546826,5.194410000000062,0.1494276274195492
engine,pyradiomics,all,all,all,audited_seconds,62,0,0.05975849999958882,0.09887550000075862,0.11414834999777668,0.8439641500008292,64.97422550000192,1.7890009225808288
engine,pyradiomics,all,all,all,total_seconds,62,0,0.6673650000011548,0.7431619499984663,0.7935306500021397,1.5047426000000996,71.1994263000015,2.56426271774205
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,baseline_seconds,2,0,14.783298900001682,23.825306275000912,32.86731365000014,41.90932102499937,50.9513283999986,32.86731365000014
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,audited_seconds,2,0,15.470239399997809,24.773615099998096,34.076990799998384,43.38036649999867,52.68374219999896,34.076990799998384
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,total_seconds,2,0,31.4307355000019,49.83249770000111,68.23425990000032,86.63602209999954,105.03778429999875,68.23425990000032
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,baseline_seconds,12,0,1.3191059000018868,1.6564509499976339,1.806077049999658,2.267155550001007,6.966183100001217,2.297720891666662
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,audited_seconds,12,0,1.676708900002268,2.7747323500016137,3.4998234499998944,4.090163949998896,8.148887100000138,3.663105199999942
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,total_seconds,12,0,4.105859800001781,5.531495100000029,6.330087899999853,7.591988450000827,16.397605699999986,7.092842858333522
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,baseline_seconds,12,0,2.623127299997577,4.208614799998031,4.6175089999997,5.8179517500020665,7.032953900001303,4.853333233333008
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,audited_seconds,12,0,3.507844700001442,4.481233375000556,5.2332327000003716,6.460831874998803,7.236656400000356,5.341232866666966
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,total_seconds,12,0,7.170189800002845,9.868810974999178,10.764567100000932,13.556200124999123,15.005947099998593,11.334626291667215
