grouping,engine,source_kind,modality,operation,metric,available_n,missing_n,min,q25,median,q75,max,mean
engine,mirp,all,all,all,baseline_seconds,61,1,1.386310299998513,2.4016687999992428,3.7199289000000135,5.3657500999997865,58.222771400000056,5.02534064590166
engine,mirp,all,all,all,audited_seconds,61,1,1.5664629000002606,2.4420141000009608,4.037854700000025,5.225322800000868,72.67167030000019,5.324543081967484
engine,mirp,all,all,all,total_seconds,62,0,2.9868994999997085,4.86387969999987,7.76720744999966,10.52852214999939,131.4807880999997,10.303216075806397
engine,pyradiomics,all,all,all,baseline_seconds,51,11,0.050512300000264077,0.06913450000047305,0.07574709999971674,0.10305040000002919,130.52323519999845,5.068797294117758
engine,pyradiomics,all,all,all,audited_seconds,51,11,0.06535629999962111,0.09321250000084547,0.14160629999969387,0.3064420999999129,132.04490179999993,5.4183071666666365
engine,pyradiomics,all,all,all,total_seconds,51,11,0.12096420000125363,0.16976244999932533,0.2632770000000164,0.4019514999999956,261.60171420000006,10.496907439215754
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,baseline_seconds,2,0,24.846701599999506,33.19071904999964,41.53473649999978,49.87875394999992,58.222771400000056,41.53473649999978
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,audited_seconds,2,0,23.805509600000732,36.022049775000596,48.23858995000046,60.45513012500032,72.67167030000019,48.23858995000046
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,total_seconds,2,0,48.91606749999846,69.55724764999877,90.19842779999908,110.83960794999939,131.4807880999997,90.19842779999908
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,baseline_seconds,12,0,1.5054805999989185,1.9845504999993864,2.4521986499994455,2.6591862750010478,6.384809000001042,2.6529041166666807
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,audited_seconds,12,0,1.7816501000015705,2.438031000000592,2.668974100000014,3.0771919000007983,6.149602200001027,2.9501904416670186
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,total_seconds,12,0,3.3220646000008855,4.650223725000615,5.152680000000146,5.748456974999954,12.574371300001076,5.6371966083337
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,baseline_seconds,11,1,3.6789751000014803,5.414015050000671,5.5884468000003835,6.392400749999979,7.5869077000006655,5.79448702727297
