engine,input_id,source_kind,modality,operation,completed,total_seconds,pair_id,status,native_values_unchanged,record_present,numeric_digest_equal,baseline_seconds,audited_seconds,baseline_value_count,observed_value_count,baseline_nonfinite_count,observed_nonfinite_count,checkpoint_count,relationship_acceptance,reason,raw_configuration_sha256,baseline_values_sha256,observed_values_sha256,resolved_configuration_sha256
pyradiomics,synthetic_921102,synthetic,mr,linear_1p3,True,0.166955799999414,pyradiomics|synthetic_921102|linear_1p3,satisfied,True,True,True,0.06967590000022028,0.09389610000107496,107,107,0,0,3,,,35fd81afe2b503dab2f985f9c879c9c35025607b625db0f12ec3e087ac85bb44,8e81d1fd5e2d796872bdd66da46b3b64666768c9a648f91dbc3ec9994acda9b7,8e81d1fd5e2d796872bdd66da46b3b64666768c9a648f91dbc3ec9994acda9b7,19aacbd98d28b0e8438c5dd21f4e670add732b81c7559e8d32b3c0b7001816fb
pyradiomics,synthetic_921103,synthetic,mr,identity,True,0.1370385999998689,pyradiomics|synthetic_921103|identity,satisfied,True,True,True,0.05583440000009432,0.07784150000043155,107,107,0,0,3,,,3b2c256694ed07bd744e24f6a45dfda60d09a9419d274e3cffda3f6455715d82,7e3a1f305473db3d56c0d4020edf791419f3486e6049f8084acd6f96aa0d066a,7e3a1f305473db3d56c0d4020edf791419f3486e6049f8084acd6f96aa0d066a,4256e4856dfbf86a114984c6ebbc8b3340bd304c457f8b2a47b005e4e17dcda2
pyradiomics,synthetic_921103,synthetic,mr,cubic_1p3,True,0.5726267000009102,pyradiomics|synthetic_921103|cubic_1p3,satisfied,True,True,True,0.07481150000057823,0.49450419999993755,107,107,0,0,3,,,4add17e774a873f6f05da6216e0fc0960af2e5298e249707ab6718c9176cbb14,8c1d6e28dd96a986d6b0bff77fbf502f16be6ee216a9bf0628451140a9820449,8c1d6e28dd96a986d6b0bff77fbf502f16be6ee216a9bf0628451140a9820449,4c0ecb272ca9ce37985f2aa01503896b93e7fee8246e99c0db89ab38a9d74c36
pyradiomics,synthetic_921103,synthetic,mr,linear_1p3,True,0.1835783000005904,pyradiomics|synthetic_921103|linear_1p3,satisfied,True,True,True,0.07574709999971674,0.10438579999936337,107,107,0,0,3,,,35fd81afe2b503dab2f985f9c879c9c35025607b625db0f12ec3e087ac85bb44,34f34d17d0cb0fad7cbf8f270a042808fd213f098566c6f7d769c84a85e37548,34f34d17d0cb0fad7cbf8f270a042808fd213f098566c6f7d769c84a85e37548,19aacbd98d28b0e8438c5dd21f4e670add732b81c7559e8d32b3c0b7001816fb
pyradiomics,synthetic_921104,synthetic,mr,identity,True,0.13039109999954235,pyradiomics|synthetic_921104|identity,satisfied,True,True,True,0.050512300000264077,0.07657350000044971,107,107,0,0,3,,,3b2c256694ed07bd744e24f6a45dfda60d09a9419d274e3cffda3f6455715d82,7199a9de27d71e8d2082d6fd2d42cb956c9d50f3a63774017d311839e1034f03,7199a9de27d71e8d2082d6fd2d42cb956c9d50f3a63774017d311839e1034f03,4256e4856dfbf86a114984c6ebbc8b3340bd304c457f8b2a47b005e4e17dcda2
pyradiomics,synthetic_921104,synthetic,mr,cubic_1p3,True,0.3880005000009987,pyradiomics|synthetic_921104|cubic_1p3,satisfied,True,True,True,0.07696369999939634,0.30764040000030946,107,107,0,0,3,,,4add17e774a873f6f05da6216e0fc0960af2e5298e249707ab6718c9176cbb14,ade596ebba19ce1f5815f832e4f870db764e587a1ac5f41c6b10aefcd7d522d3,ade596ebba19ce1f5815f832e4f870db764e587a1ac5f41c6b10aefcd7d522d3,4c0ecb272ca9ce37985f2aa01503896b93e7fee8246e99c0db89ab38a9d74c36
pyradiomics,synthetic_921104,synthetic,mr,linear_1p3,True,0.1767985000005865,pyradiomics|synthetic_921104|linear_1p3,satisfied,True,True,True,0.07669949999944947,0.09641969999938738,107,107,0,0,3,,,35fd81afe2b503dab2f985f9c879c9c35025607b625db0f12ec3e087ac85bb44,9fce650d1ac8ab22ae90d3c5f6d2a951e838d52047973e4f6e8dc60b131e252e,9fce650d1ac8ab22ae90d3c5f6d2a951e838d52047973e4f6e8dc60b131e252e,19aacbd98d28b0e8438c5dd21f4e670add732b81c7559e8d32b3c0b7001816fb
pyradiomics,synthetic_921105,synthetic,mr,identity,True,0.13249390000055428,pyradiomics|synthetic_921105|identity,satisfied,True,True,True,0.0510627999992721,0.07774640000025101,107,107,0,0,3,,,3b2c256694ed07bd744e24f6a45dfda60d09a9419d274e3cffda3f6455715d82,353dd3790b2db53463b9951c7c3eb31b52d0749e99e3ff16e06e9de75eccb4e9,353dd3790b2db53463b9951c7c3eb31b52d0749e99e3ff16e06e9de75eccb4e9,4256e4856dfbf86a114984c6ebbc8b3340bd304c457f8b2a47b005e4e17dcda2
pyradiomics,synthetic_921105,synthetic,mr,cubic_1p3,True,0.4199891000007483,pyradiomics|synthetic_921105|cubic_1p3,satisfied,True,True,True,0.07392410000102245,0.342618600001515,107,107,0,0,3,,,4add17e774a873f6f05da6216e0fc0960af2e5298e249707ab6718c9176cbb14,5e7c429a10447164750e82bc0983d2959a74f1d62373be282f74ece4d27ca8ab,5e7c429a10447164750e82bc0983d2959a74f1d62373be282f74ece4d27ca8ab,4c0ecb272ca9ce37985f2aa01503896b93e7fee8246e99c0db89ab38a9d74c36
pyradiomics,synthetic_921105,synthetic,mr,linear_1p3,True,0.16343199999937497,pyradiomics|synthetic_921105|linear_1p3,satisfied,True,True,True,0.07121770000048855,0.08856080000077782,107,107,0,0,3,,,35fd81afe2b503dab2f985f9c879c9c35025607b625db0f12ec3e087ac85bb44,b35a5b73de01db1bca432347fcde122b7b0922d1e5c4e845853be409a8424833,b35a5b73de01db1bca432347fcde122b7b0922d1e5c4e845853be409a8424833,19aacbd98d28b0e8438c5dd21f4e670add732b81c7559e8d32b3c0b7001816fb
